Help!	बचाओ!
When will you return?	तुम कब लौट कर आओगे?
Where is the problem?	मुश्किल क्या है?
Where is the problem?	मुश्किल कहाँ है?
Where is your father?	तुम्हारे पिता कहाँ हैं?
Will you go by train?	तुम रेलगाड़ी से जाओगे क्या?
You can't prove that.	तुम वह साबित नहीं कर सकते।
You look happy today.	तुम आज खुश लगते हो।
Your dog is very big.	तुम्हारा कुत्ता बहुत बड़ा है।
Your dog is very fat.	तुम्हारा कुत्ता बहुत मोटा है।
Can I use your pencil?	मैं तुम्हारी पेनसिल इस्तेमाल कर सकता हूँ क्या?
Can the rumor be true?	क्या यह अफ़वाह सच हो सकती है?
Can you keep a secret?	तुम राज़ रख सकते हो क्या?
Did you see my camera?	तुमने मेरा कैमरा देखा क्या?
Do you believe in God?	क्या तुम भगवान में विश्वास करते हो?
Do you know your size?	क्या आपको अपना नाप पता है?
Do you like this book?	क्या तुम्हें यह किताब पसंद है ?
Does he speak English?	वह अंग्रेज़ी बोलता है क्या?
Don't be disappointed.	निराश मत हो।
Fat hens lay few eggs.	मोटी मुर्गियाँ कम अंडे देतीं हैं।
Has the bell rung yet?	घंटी बज चुकी है क्या?
He accepted our offer.	उसने हमारा प्रस्ताव स्वीकार कर लिया।
He became a policeman.	वह पुलिस अफ़सर बन गया।
He became a policeman.	वह पुलिसवाला बन गया।
He climbed the stairs.	वह सीड़ियों पर चढ़ गया।
He deals in furniture.	वो फ़र्निचर का व्यापार करता है।
He got a lot of money.	उसे बहुत सारा पैसा मिला।
He has a little money.	उसके पास थोड़े-बहुत पैसे हैं।
He has a lot of money.	वह बहुत पैसेवाला है।
He is a sharp-shooter.	उसका निशाना बहुत अच्छा है।
He is poor, but happy.	वह गरीब है, पर खुश है।
He is tall and strong.	वह लम्बा और ताकतवर है।
He knows us very well.	वह हमको अच्छी तरह से जानता है।
He looks like a horse.	वह दिखने में घोड़े की तरह लगता है।
